"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_3kcSQmE6MHn8LQYCu","2982795","new_entry","original",NA,NA,"Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,2020-06-01,"Cameroon","CMR","CM","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.3183436982174,52.4112736560088,51.2313078910764,131,"https://www.minsante.cm/site/?q=fr/content/dossier-de-presse-point-de-presse-minsante-covid-19-cousp2020 ; https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde-2/ ; https://www.spm.gov.cm/site/?q=en/content/government-response-strategy-coronavirus-pandemic-covid-19",2020-04-03,2020-04-03 14:38:15
"2","R_3kcSQmE6MHn8LQYCw","2982795","new_entry","original",NA,NA,"Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,2020-06-01,"Cameroon","CMR","CM","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.3183436982174,52.4112736560088,51.2313078910764,131,"https://www.minsante.cm/site/?q=fr/content/dossier-de-presse-point-de-presse-minsante-covid-19-cousp2020 ; https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde-2/ ; https://www.spm.gov.cm/site/?q=en/content/government-response-strategy-coronavirus-pandemic-covid-19",2020-04-03,2020-04-03 14:38:15
"3","R_3kcSQmE6MHn8LQYDr","2982795","new_entry","original",NA,NA,"Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,2020-06-01,"Cameroon","CMR","CM","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.3183436982174,52.4112736560088,51.2313078910764,131,"https://www.minsante.cm/site/?q=fr/content/dossier-de-presse-point-de-presse-minsante-covid-19-cousp2020 ; https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde-2/ ; https://www.spm.gov.cm/site/?q=en/content/government-response-strategy-coronavirus-pandemic-covid-19",2020-04-03,2020-04-03 14:38:15
"4","R_3kcSQmE6MHn8LQYBh","2982795","new_entry","original",NA,NA,"Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,2020-06-01,"Cameroon","CMR","CM","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.3183436982174,52.4112736560088,51.2313078910764,131,"https://www.minsante.cm/site/?q=fr/content/dossier-de-presse-point-de-presse-minsante-covid-19-cousp2020 ; https://cm.usembassy.gov/health-alert-u-s-embassy-yaounde-2/ ; https://www.spm.gov.cm/site/?q=en/content/government-response-strategy-coronavirus-pandemic-covid-19",2020-04-03,2020-04-03 14:38:15
"5","R_6X9jBoGzmrJuOSlCu","2982795","update","original","End of Policy","Relaxing","Effective on March 18, 2020, all private and public schools and education facilities in Cameroon are to be closed. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. 

Cameroon's Head of State announced on April 16, that schools will reopen on June 1, 2020. Exams for the 2019/2020 school year will take place in July and August. Cameroon will begin the 2020/21 school year on October 5th and October 15th (higher education).",2020-03-17,2020-03-18,2020-06-01,"Cameroon","CMR","CM","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.3183436982174,52.4112736560088,51.2313078910764,131,"NA",2020-05-15,2020-05-15 07:30:15
"6","R_6X9jBoGzmrJuOSlCw","2982795","update","original","End of Policy","Relaxing","Effective on March 18, 2020, all private and public schools and education facilities in Cameroon are to be closed. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. 

Cameroon's Head of State announced on April 16, that schools will reopen on June 1, 2020. Exams for the 2019/2020 school year will take place in July and August. Cameroon will begin the 2020/21 school year on October 5th and October 15th (higher education).",2020-03-17,2020-03-18,2020-06-01,"Cameroon","CMR","CM","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.3183436982174,52.4112736560088,51.2313078910764,131,"NA",2020-05-15,2020-05-15 07:30:15
"7","R_6X9jBoGzmrJuOSlDr","2982795","update","original","End of Policy","Relaxing","Effective on March 18, 2020, all private and public schools and education facilities in Cameroon are to be closed. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. 

Cameroon's Head of State announced on April 16, that schools will reopen on June 1, 2020. Exams for the 2019/2020 school year will take place in July and August. Cameroon will begin the 2020/21 school year on October 5th and October 15th (higher education).",2020-03-17,2020-03-18,2020-06-01,"Cameroon","CMR","CM","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.3183436982174,52.4112736560088,51.2313078910764,131,"NA",2020-05-15,2020-05-15 07:30:15
"8","R_6X9jBoGzmrJuOSlBh","2982795","update","original","End of Policy","Relaxing","Effective on March 18, 2020, all private and public schools and education facilities in Cameroon are to be closed. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed. 

Cameroon's Head of State announced on April 16, that schools will reopen on June 1, 2020. Exams for the 2019/2020 school year will take place in July and August. Cameroon will begin the 2020/21 school year on October 5th and October 15th (higher education).",2020-03-17,2020-03-18,2020-06-01,"Cameroon","CMR","CM","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.3183436982174,52.4112736560088,51.2313078910764,131,"NA",2020-05-15,2020-05-15 07:30:15
"9","R_3dS5RRYVi63CJn4Cu","2982795","update","original","End of Policy","Relaxing","Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,2020-06-01,"Cameroon","CMR","CM","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.3183436982174,52.4112736560088,51.2313078910764,131,"NA",2020-06-29,2020-06-29 20:09:06
"10","R_3dS5RRYVi63CJn4Cw","2982795","update","original","End of Policy","Relaxing","Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,2020-06-01,"Cameroon","CMR","CM","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.3183436982174,52.4112736560088,51.2313078910764,131,"NA",2020-06-29,2020-06-29 20:09:06
"11","R_3dS5RRYVi63CJn4Dr","2982795","update","original","End of Policy","Relaxing","Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,2020-06-01,"Cameroon","CMR","CM","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.3183436982174,52.4112736560088,51.2313078910764,131,"NA",2020-06-29,2020-06-29 20:09:06
"12","R_3dS5RRYVi63CJn4Bh","2982795","update","original","End of Policy","Relaxing","Effective on March 18, 2020, all private and public education facilities. All public and private training establishments of the various levels of education, from nursery school to higher education, including vocational training centres and professional schools, will be closed; School and university competitions, like the FENASSCO and University games are postponed.",2020-03-17,2020-03-18,2020-06-01,"Cameroon","CMR","CM","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",53.3183436982174,52.4112736560088,51.2313078910764,131,"NA",2020-06-29,2020-06-29 20:09:06
"13","R_1q87zOKb2CC5SdICu","2982795","update","original",NA,"Relaxing","UPDATE: Regarding the closure of schools in Cameroon, the Prime Minister and Head of Government, Chief Dr Joseph Dion Ngute announced on April 16, 2020 that all schools across the country will tentatively reopen on June 1, 2020. Schools have been closed since March 18.
This decision taken by the Head of State H.E Paul Biya is subject to change depending on the evolution of the pandemic in the country.

On March 18, 2020, the Government of Cameroon announced that all private and public schools, education and training facilities, at all levels of education, from nursery school to higher education, including vocational training centers and professional schools, would be closed until further notice; School and university competitions, like the FENASSCO and University games were postponed.",2020-04-16,2020-04-16,2020-06-01,"Cameroon","CMR","CM","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.050444019964,53.5443833034456,51.464449604432,122,"https://www.journalducameroun.com/en/cameroon-schools-to-reopen-on-1st-of-june-2020/",2020-04-19,2020-04-19 08:51:12
"14","R_1q87zOKb2CC5SdICw","2982795","update","original",NA,"Relaxing","UPDATE: Regarding the closure of schools in Cameroon, the Prime Minister and Head of Government, Chief Dr Joseph Dion Ngute announced on April 16, 2020 that all schools across the country will tentatively reopen on June 1, 2020. Schools have been closed since March 18.
This decision taken by the Head of State H.E Paul Biya is subject to change depending on the evolution of the pandemic in the country.

On March 18, 2020, the Government of Cameroon announced that all private and public schools, education and training facilities, at all levels of education, from nursery school to higher education, including vocational training centers and professional schools, would be closed until further notice; School and university competitions, like the FENASSCO and University games were postponed.",2020-04-16,2020-04-16,2020-06-01,"Cameroon","CMR","CM","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Cameroon",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.050444019964,53.5443833034456,51.464449604432,122,"https://www.journalducameroun.com/en/cameroon-schools-to-reopen-on-1st-of-june-2020/",2020-04-19,2020-04-19 08:51:12
