"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2CNWRapZpeBqh0VNA","4174060","new_entry","original",NA,NA,"The Qassim Region Police identified and detained the man of the news account spreading rumors and fake news on social media websites alleging that the curfew timetable periods had changed in Saudi Arabia. The man was subjected to applicable rules and referred to public prosecution.",2020-05-02,2020-05-02,NA,"Saudi Arabia","SAU","SA","Provincial",0,"Al-Qassim",NA,"Anti-Disinformation Measures",NA,NA,"","Saudi Arabia",NA,NA,"Al-Qassim",NA,NA,NA,NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Provincial/State Government,Police",NA,NA,NA,NA,"https://www.spa.gov.sa/viewfullstory.php?lang=en&newsid=2081602#2081602",2020-06-30,2020-06-30 22:02:15
"2","R_23ZuVnqbxHY049fNA","8793047","new_entry","original",NA,NA,"Saudi Arabia's General Secretariat of the Organization of Islamic Cooperation (OIC) has launched a far-reaching media awareness campaign under the hashtag: 'OICCountriesCombatCOVID19' as an anti-disinformation measure on the OIC's social media platforms and has also created a special page on its official website regularly updating information and statistics on the spread of the novel Coronavirus in the OIC Member States.",2020-06-28,2020-06-28,NA,"Saudi Arabia","SAU","SA","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,NA,"Voluntary/Recommended but No Penalties","National Government,Other (Please specify in the text box)",NA,NA,NA,NA,"https://www.spa.gov.sa/viewfullstory.php?lang=en&newsid=2103167#2103167",2020-08-19,2020-08-19 06:41:11
"3","R_3MbsWTLJlgg3SH3Df","309483","new_entry","original",NA,NA,"Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020.",2020-03-08,2020-03-09,NA,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.0777128178797,54.1520194061428,53.2333899226497,192,"https://english.alarabiya.net/en/News/2020/03/08/Coronavirus-Saudi-Arabia-suspends-all-schools-universities-until-further-notice.html",2020-04-03,2020-04-03 04:25:27
"4","R_3MbsWTLJlgg3SH3Dh","309483","new_entry","original",NA,NA,"Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020.",2020-03-08,2020-03-09,NA,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.0777128178797,54.1520194061428,53.2333899226497,192,"https://english.alarabiya.net/en/News/2020/03/08/Coronavirus-Saudi-Arabia-suspends-all-schools-universities-until-further-notice.html",2020-04-03,2020-04-03 04:25:27
"5","R_3MbsWTLJlgg3SH3Ed","309483","new_entry","original",NA,NA,"Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020.",2020-03-08,2020-03-09,NA,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.0777128178797,54.1520194061428,53.2333899226497,192,"https://english.alarabiya.net/en/News/2020/03/08/Coronavirus-Saudi-Arabia-suspends-all-schools-universities-until-further-notice.html",2020-04-03,2020-04-03 04:25:27
"6","R_3MbsWTLJlgg3SH3Bo","309483","new_entry","original",NA,NA,"Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020.",2020-03-08,2020-03-09,NA,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.0777128178797,54.1520194061428,53.2333899226497,192,"https://english.alarabiya.net/en/News/2020/03/08/Coronavirus-Saudi-Arabia-suspends-all-schools-universities-until-further-notice.html",2020-04-03,2020-04-03 04:25:27
"7","R_1OZYGQLkbIH31a0Df","458836","new_entry","original",NA,NA,"The Kingdom of Saudi Arabia suspended all educational and Quranic activities at all mosques, beginning March 9th.",2020-03-08,2020-03-09,NA,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.0777128178797,54.1520194061428,53.2333899226497,192,"saudi to suspend all educational and quranic activities",2020-07-30,2020-07-30 23:51:43
"8","R_1OZYGQLkbIH31a0Dh","458836","new_entry","original",NA,NA,"The Kingdom of Saudi Arabia suspended all educational and Quranic activities at all mosques, beginning March 9th.",2020-03-08,2020-03-09,NA,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.0777128178797,54.1520194061428,53.2333899226497,192,"saudi to suspend all educational and quranic activities",2020-07-30,2020-07-30 23:51:43
"9","R_1OZYGQLkbIH31a0Ed","458836","new_entry","original",NA,NA,"The Kingdom of Saudi Arabia suspended all educational and Quranic activities at all mosques, beginning March 9th.",2020-03-08,2020-03-09,NA,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.0777128178797,54.1520194061428,53.2333899226497,192,"saudi to suspend all educational and quranic activities",2020-07-30,2020-07-30 23:51:43
"10","R_262Xtip1y05C3r9Df","309483","update","original","Change of Policy","Strengthening","Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020. 

UPDATE: On August 15, Saudi Arabia announced it would continue distance learning measures for students during the first seven weeks of the new academic year and will review a return to schools later on.",2020-08-15,2020-08-15,NA,"Saudi Arabia","SAU","SA","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA",2020-10-01,2020-10-01 20:33:05
"11","R_262Xtip1y05C3r9Dh","309483","update","original","Change of Policy","Strengthening","Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020. 

UPDATE: On August 15, Saudi Arabia announced it would continue distance learning measures for students during the first seven weeks of the new academic year and will review a return to schools later on.",2020-08-15,2020-08-15,NA,"Saudi Arabia","SAU","SA","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA",2020-10-01,2020-10-01 20:33:05
"12","R_262Xtip1y05C3r9Ed","309483","update","original","Change of Policy","Strengthening","Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020. 

UPDATE: On August 15, Saudi Arabia announced it would continue distance learning measures for students during the first seven weeks of the new academic year and will review a return to schools later on.",2020-08-15,2020-08-15,NA,"Saudi Arabia","SAU","SA","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA",2020-10-01,2020-10-01 20:33:05
"13","R_262Xtip1y05C3r9Bo","309483","update","original","Change of Policy","Strengthening","Saudi Arabia suspended all schools, universities, and educational institutions in the Kingdom starting on Monday March 9th, 2020. 

UPDATE: On August 15, Saudi Arabia announced it would continue distance learning measures for students during the first seven weeks of the new academic year and will review a return to schools later on.",2020-08-15,2020-08-15,NA,"Saudi Arabia","SAU","SA","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",NA,NA,NA,NA,"NA",2020-10-01,2020-10-01 20:33:05
"14","R_2v7aLSku9XAh6neNA","1330524","new_entry","original",NA,NA,"On March 23rd, 2020, Saudi Arabia enforced a nationwide partial curfew from 7 P.M. until 6 A.M. for a period of 21 days.",2020-03-23,2020-03-23,NA,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Curfew",NA,NA,"","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Police",56.1045540363134,54.965333776868,53.9517983998991,187,"https://www.garda.com/crisis24/news-alerts/325516/saudi-arabia-nationwide-curfew-implemented-march-23-update-17",2020-08-04,2020-08-04 16:25:36
"15","R_29ijcbzUrnWiYPCNA","4706265","new_entry","original",NA,NA,"On March 23rd, 2020, Saudi Arabia enforced a partial curfew from 7 P.M. until 6 A.M. for a period of 21 days.",2020-03-22,2020-03-23,2020-06-21,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Curfew",NA,NA,"","Saudi Arabia","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",56.1045540363134,54.965333776868,53.9517983998991,187,"https://twitter.com/KSAmofaEN/status/1241871472991318017",2020-04-06,2020-04-06 19:12:23
"16","R_uxJkCH3XuwM9fuVNA","4966637","new_entry","original",NA,NA,"On March 26th, 2020, Saudi Arabia enforced partial curfew from 3 P.M. until 6 A.M. in the cities of Riyadh, Makkah, and Madinah.",2020-03-25,2020-03-26,NA,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Curfew",NA,NA,"","Saudi Arabia","One or more geographical or administrative units within one or more countries",NA,NA,"Riyadh; Makkah; Madinah",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",56.148081788762,55.0894052360997,54.0954494033343,187,"https://twitter.com/KSAmofaEN/status/1242926034003075073",2020-04-06,2020-04-06 19:27:19
"17","R_2bPGKDW0MPe2BZPNA","8111627","new_entry","original",NA,NA,"On March 29th, 2020, Saudi Arabia enforced a curfew in the Jeddah Governorate to be effective from 3 P.M. onwards.",2020-03-29,2020-03-29,NA,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Curfew",NA,NA,"","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",56.5508619977824,55.1788034926623,53.7168013044736,186,"https://www.spa.gov.sa/viewstory.php?lang=en&newsid=2052560",2020-05-02,2020-05-02 00:55:59
"18","R_3R3I77ZTtf7N8qENA","5902954","new_entry","correction",NA,NA,"Saudi Arabia strengthened curfew hours in the regions of Riyadh, Jeddah, Dammam, Taif, and Al Qatif from 19:00-6:00 to 15:00-6:00. The revised curfew hours take effect on April 3rd.",2020-04-03,2020-04-03,NA,"Saudi Arabia","SAU","SA","National",0,NA,NA,"Curfew",NA,NA,"","Saudi Arabia","One or more geographical or administrative units within one or more countries",NA,NA,"Riyadh; Jeddah; Dammam; Taif; Al Qatif",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government",58.1970198207029,55.321112673485,51.8909271683099,185,"https://www.garda.com/crisis24/news-alerts/328861/saudi-arabia-curfew-hours-revised-in-dammam-taif-and-qatif-april-3-update-22",2020-08-18,2020-08-18 22:03:39
"19","R_piuXKnaMFO8lDFfNA","9854311","new_entry","correction",NA,NA,"On April 6th 2020, Saudi Arabia enforced a 24 hour curfew on the cities of Riyadh, Tabuk, Dammam, Dhahran, and Hofuf from April 6 until further notice.  Entry and exit to and from these areas are banned. Residents in these areas are only permitted to leave their homes for groceries, medical needs, and other essentials from 0600-1500 daily.",2020-04-06,2020-04-06,NA,"Saudi Arabia","SAU","SA","National",0,NA,NA,"Curfew",NA,NA,"","Saudi Arabia","One or more geographical or administrative units within one or more countries",NA,NA,"Riyadh; Tabuk; Dammam; Dhahran; Hofuf",NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",58.7842514344157,55.3874609761245,50.5367683838909,186,"https://www.arabnews.com/node/1654376/saudi-arabia",2020-06-26,2020-06-26 17:46:40
"20","R_1gusBkZthbY1RjcNA","4706265","update","original","Change of Policy","Strengthening","On March 23rd, 2020, Saudi Arabia enforced a partial curfew from 7 P.M. until 6 A.M. for a period of 21 days. On April 12th, the nationwide curfew was indefinitely extended by the government until further notice. The nationwide curfew would be enforced from 15:00-6:00 daily. Residents nationwide are only permitted to leave their homes for groceries, medical needs, and other essentials from 0600-1500 daily.",2020-04-11,2020-04-12,2020-06-21,"Saudi Arabia","SAU","SA","National",0,NA,NA,"Curfew",NA,NA,"","Saudi Arabia","One or more countries, but not all countries",NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines,Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Military,Police",59.7946165433066,54.8539405998151,50.1241911996121,179,"NA",2020-08-12,2020-08-12 14:40:17
"21","R_1dsHCudKRLX7cb1NA","7901822","new_entry","original",NA,NA,"An allowed period for going out for necessary needs during the curfew has been defined for the holy month of Ramadan form April 24th to May 23rd.
The allowed period is as follows:
First: From 9:00 a.m. to 5:00 p.m. in all governorates, regions and cities in which 24-hour curfew is implemented and is not implemented. This allowed period is only for meeting necessary needs such as medical care and grocery shopping, and only two people are permitted to be in one vehicle at a time.",2020-04-21,2020-04-24,2020-05-23,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Curfew",NA,NA,"","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines,Mandatory (Unspecified/Implied)","National Government",61.4409491464212,54.8709752404254,49.3895551115054,176,"https://www.spa.gov.sa/viewfullstory.php?lang=en&newsid=2077348",2020-06-30,2020-06-30 18:48:05
"22","R_3ksQauPrbfaFWQVNA","2983999","new_entry","original",NA,NA,"The Kingdom of Saudi Arabia allowed residents, beginning May 28th, to travel between regions and cities during curfew hours 15:00-6:00. Travel between regions and cities is only allowed to residents who obtain electronic permits from the official “Tawakkalna” application, which is a digital service approved by the Saudi Ministry of Health to prevent the spread of coronavirus and permits residents to travel during the coronavirus. 

For unique situations during which people might need a movement permit, the Saudi Data and AI Authority advises the following:

For emergencies: Use of the “Supply” permit or “Emergency supply” permit is allowed in accordance with the Ministry of Interior regulations.

For traveling to other neighborhoods or provinces due to a humanitarian situation or losing a loved one or a family emergency: Applications are allowed for permits from the Saudi Public Security’s online service (tanaqul.ecloud.sa).",2020-05-26,2020-05-28,2020-06-20,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Curfew",NA,NA,"","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Fines","National Government,Police",NA,NA,NA,NA,"https://us-sabc.org/what-you-need-to-know-saudi-arabias-re-opening-as-part-of-the-governments-coronavirus-strategy/",2020-08-13,2020-08-13 18:04:13
"23","R_qRvHDyN7ErUl1a9NA","3126535","new_entry","original",NA,NA,"Beginning May 28th, the Kingdom of Saudi Arabia permitted residents to walk in their neighborhoods during curfew hours from 15:00-6:00.",2020-05-26,2020-05-28,2020-06-20,"Saudi Arabia","SAU","SA","National",1,NA,NA,"Curfew",NA,NA,"","Saudi Arabia",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","National Government",NA,NA,NA,NA,"https://www.spa.gov.sa/viewfullstory.php?lang=en&newsid=2091631#2091631",2020-08-13,2020-08-13 03:33:02
